	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@/usr/local/solr/example/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@e660cbd; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1,filenames=[segments_1]
INFO  - 2013-07-04 21:10:03.286; org.apache.solr.core.SolrDeletionPolicy; newest commit = 1[segments_1]
INFO  - 2013-07-04 21:10:03.292; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2013-07-04 21:10:03.292; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2013-07-04 21:10:03.293; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2013-07-04 21:10:03.299; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2013-07-04 21:10:03.299; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2013-07-04 21:10:03.447; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2013-07-04 21:10:03.448; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2013-07-04 21:10:03.451; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2013-07-04 21:10:03.453; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2013-07-04 21:10:03.459; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2013-07-04 21:10:03.463; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
INFO  - 2013-07-04 21:10:03.467; org.apache.solr.core.RequestHandlers; created /update/csv: solr.CSVRequestHandler
INFO  - 2013-07-04 21:10:03.467; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2013-07-04 21:10:03.469; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2013-07-04 21:10:03.469; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2013-07-04 21:10:03.469; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2013-07-04 21:10:03.470; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2013-07-04 21:10:03.470; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2013-07-04 21:10:03.474; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2013-07-04 21:10:03.480; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2013-07-04 21:10:03.484; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2013-07-04 21:10:03.499; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2013-07-04 21:10:03.500; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-07-04 21:10:03.500; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2013-07-04 21:10:03.500; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-07-04 21:10:03.501; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2013-07-04 21:10:03.501; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-07-04 21:10:03.501; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2013-07-04 21:10:03.502; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-07-04 21:10:03.502; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2013-07-04 21:10:03.529; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-07-04 21:10:03.532; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-07-04 21:10:03.533; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-07-04 21:10:03.553; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@3579defb main
INFO  - 2013-07-04 21:10:03.572; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2013-07-04 21:10:03.572; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2013-07-04 21:10:03.574; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2013-07-04 21:10:03.585; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2013-07-04 21:10:03.594; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2013-07-04 21:10:03.597; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /usr/local/solr/example/solr/collection1/conf/elevate.xml
INFO  - 2013-07-04 21:10:03.654; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2013-07-04 21:10:03.654; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@3579defb main{StandardDirectoryReader(segments_1:1)}
INFO  - 2013-07-04 21:10:03.707; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=50 
INFO  - 2013-07-04 21:10:03.708; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2013-07-04 21:10:03.708; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2013-07-04 21:10:03.708; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2013-07-04 21:10:03.715; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@3579defb main{StandardDirectoryReader(segments_1:1)}
INFO  - 2013-07-04 21:10:03.720; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2013-07-04 21:10:03.722; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/usr/local/solr/example
INFO  - 2013-07-04 21:10:03.722; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2013-07-04 21:10:03.786; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2013-07-04 21:11:29.396; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
INFO  - 2013-07-04 21:11:29.397; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/usr/local/solr/example/solr-webapp/webapp/},/usr/local/solr/example/webapps/solr.war
INFO  - 2013-07-04 21:11:30.398; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=405168301
INFO  - 2013-07-04 21:11:30.409; org.apache.solr.core.SolrCore; [collection1]  CLOSING SolrCore org.apache.solr.core.SolrCore@201ce18c
INFO  - 2013-07-04 21:11:30.417; org.apache.solr.update.DirectUpdateHandler2; closing DirectUpdateHandler2{commits=0,autocommit maxTime=15000ms,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0}
INFO  - 2013-07-04 21:11:30.418; org.apache.solr.update.SolrCoreState; Closing SolrCoreState
INFO  - 2013-07-04 21:11:30.418; org.apache.solr.update.DefaultSolrCoreState; SolrCoreState ref count has reached 0 - closing IndexWriter
INFO  - 2013-07-04 21:11:30.418; org.apache.solr.update.DefaultSolrCoreState; closing IndexWriter with IndexWriterCloser
INFO  - 2013-07-04 21:11:30.419; org.apache.solr.core.SolrCore; [collection1] Closing main searcher on request.
INFO  - 2013-07-04 21:11:30.420; org.apache.solr.core.CachingDirectoryFactory; Closing NRTCachingDirectoryFactory - 2 directories currently being tracked
INFO  - 2013-07-04 21:11:30.421; org.apache.solr.core.CachingDirectoryFactory; looking to close /usr/local/solr/example/solr/collection1/data [CachedDir<<refCount=0;path=/usr/local/solr/example/solr/collection1/data;done=false>>]
INFO  - 2013-07-04 21:11:30.421; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /usr/local/solr/example/solr/collection1/data
INFO  - 2013-07-04 21:11:30.421; org.apache.solr.core.CachingDirectoryFactory; looking to close /usr/local/solr/example/solr/collection1/data/index [CachedDir<<refCount=0;path=/usr/local/solr/example/solr/collection1/data/index;done=false>>]
INFO  - 2013-07-04 21:11:30.422; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /usr/local/solr/example/solr/collection1/data/index
INFO  - 2013-07-04 21:11:30.423; org.eclipse.jetty.server.handler.ContextHandler; stopped o.e.j.w.WebAppContext{/solr,file:/usr/local/solr/example/solr-webapp/webapp/},/usr/local/solr/example/webapps/solr.war
INFO  - 2013-07-04 21:11:30.477; org.eclipse.jetty.util.thread.ShutdownThread; shutdown already commenced
INFO  - 2013-07-04 21:11:33.532; org.eclipse.jetty.server.Server; jetty-8.1.8.v20121106
INFO  - 2013-07-04 21:11:33.568; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /usr/local/solr/example/contexts at interval 0
INFO  - 2013-07-04 21:11:33.578; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /usr/local/solr/example/contexts/solr-jetty-context.xml
INFO  - 2013-07-04 21:11:34.593; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2013-07-04 21:11:34.631; org.eclipse.jetty.server.handler.ContextHandler; started o.e.j.w.WebAppContext{/solr,file:/usr/local/solr/example/solr-webapp/webapp/},/usr/local/solr/example/webapps/solr.war
INFO  - 2013-07-04 21:11:34.631; org.eclipse.jetty.server.handler.ContextHandler; started o.e.j.w.WebAppContext{/solr,file:/usr/local/solr/example/solr-webapp/webapp/},/usr/local/solr/example/webapps/solr.war
INFO  - 2013-07-04 21:11:34.650; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2013-07-04 21:11:34.675; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2013-07-04 21:11:34.676; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2013-07-04 21:11:34.689; org.apache.solr.core.CoreContainer$Initializer; looking for solr config file: /usr/local/solr/example/solr/solr.xml
INFO  - 2013-07-04 21:11:34.693; org.apache.solr.core.CoreContainer; New CoreContainer 2112751068
INFO  - 2013-07-04 21:11:34.693; org.apache.solr.core.CoreContainer; Loading CoreContainer using Solr Home: 'solr/'
INFO  - 2013-07-04 21:11:34.694; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2013-07-04 21:11:35.128; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2013-07-04 21:11:35.129; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2013-07-04 21:11:35.129; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
